
==============================================================================================================
                                  BAI 7 - PRODUCT WITH HIGHEST QUANTITY SOLD                                  
==============================================================================================================
Product_ID                  Product_Category_Name  Quantity_Sold  Total_Revenue   Avg_Review_Score  Review_Count
----------------------------------------------------------------------------------------------------------------
aca2eb7d00ea1a7b8ebd4e6...  Furniture_Decor                  527        44820.76            4.0191           524
----------------------------------------------------------------------------------------------------------------
Rows shown in this table: 1

Giai thich:
- Quantity_Sold duoc tinh bang cach dem so dong san pham trong Order_Items theo tung Product_ID.
- San pham o bang tren la san pham co so luong ban ra cao nhat.
- Neu nhieu san pham co cung Quantity_Sold, Total_Revenue duoc dung lam tieu chi sap xep tiep theo.

==============================================================================================================
                                             BAI 7 - ALL PRODUCTS                                             
==============================================================================================================
Product_ID                  Product_Category_Name             Quantity_Sold  Total_Revenue   Avg_Review_Score  Review_Count
---------------------------------------------------------------------------------------------------------------------------
aba86c093ccdbac75b09111...  Office_Furniture                             57         8056.65            3.9123            57
764292b2b0f73f77a0272be...  Furniture_Decor                              57         6046.57            4.1379            58
a02d0123079f4ae96001ba2...  Construction_Tools_Lights                    56         16238.5            4.2143            56
f4f67ccaece962d013a4e1d...  Auto                                         56        14747.13            4.4107            56
054515fd15bc1a2029f10de...  Sports_Leisure                               56         3120.52             4.125            56
f71f42e2381752836563b70...  Computers_Accessories                        56         2689.66            4.4211            57
af51d485dc5255ba2e18b21...  Luggage_Accessories                          55        18135.93               4.4            55
2a5806f10d0f00e5ad032dd...  Office_Furniture                             55         11810.9            3.2778            54
30ac6df06dc59ad72cf2f15...  Housewares                                   55         7564.51            3.9444            54
386486367c1f9d4f587a886...  Bed_Bath_Table                               55         7134.81            3.4561            57
f40876e0ef3cd5f9132b1f1...  Health_Beauty                                55         7013.66            4.2642            53
ed2067a9c1f79553088a3c6...  Food                                         55         4027.24            4.5385            52
d63c1011f49d98b976c3529...  Health_Beauty                                55         3988.09               4.2            55
b114bf337c0626166abe574...  Office_Furniture                             54        10262.53            3.2222            54
73326828aa5efe1ba096223...  Food                                         54         5092.34            4.8333            54
431d674f9a4fbd0957ecf6b...  Telephony                                    53        15966.71            4.3208            53
afeeea6271148ee1bb15173...  Telephony                                    53        11990.79            4.4528            53
9545d45c37449ccbc376de3...  Health_Beauty                                53         7657.87            4.2642            53
c857b96593773e940454e76...  Furniture_Decor                              53         3659.16            3.7885            52
4520766ec412348b8d4caa5...  Auto                                         53         2923.25            4.1346            52
e03102efbc2229024c89be7...  Stationery                                   53         2797.46            4.1887            53
ddceb6eef6af67e9fbbd4c1...  Cool_Stuff                                   52        12451.68              4.42            50
2ffdf10e724b958c0f7ea69...  Watches_Gifts                                52        11939.28            3.2549            51
c7fd13b5e515bffdab855d0...  Furniture_Decor                              52         4314.02            4.0962            52
22c5ddc22ea8cae84fc9917...  Perfumery                                    52         3640.37            4.0943            53
4ae634441e444ca4bc85903...  Telephony                                    52         1671.16            4.0962            52
d2f5484cbffe4ca766301b2...  Computers_Accessories                        52         1298.93               4.0            52
4413a608a42bd21bbf9d5ab...  Cool_Stuff                                   51         9194.83              3.94            50
f264c1d9b20b5e4a340254d...  Cool_Stuff                                   50         4368.19              4.34            50
703d742887bb9267f89b675...  Bed_Bath_Table                               50         3728.95              4.08            50
88dd63919fc9ab693803578...  Computers_Accessories                        50         2460.47              3.96            50
a35a9f46dcee0a67c8c7ad8...  Computers_Accessories                        50         2269.05            4.0612            49
11fd9d7ba552e1d28872e00...  Cool_Stuff                                   49         7495.32            4.2041            49
4b96786612ebe7463132fce...  Housewares                                   49         7452.94            4.2245            49
130482add9fd75ccb6c57ba...  Computers_Accessories                        49         6441.02            4.5385            52
5b226d7c52f86ac72457617...  Bed_Bath_Table                               49         3732.63               4.0            49
72172e982e8b92155069e42...  Sports_Leisure                               49         2222.18            4.3469            49
db5efde3ad0cc579b130d71...  Audio                                        48        10231.39            3.7872            47
8aa6223e400af9c97b07c75...  Baby                                         48          9912.4             4.125            48
b1d207586fca400a2370d50...  #N/A                                         48         7689.86            1.9167            48
e251ebd2858be1aa7d9b208...  Garden_Tools                                 48         6730.71            3.9362            47
f1fe595ee7ef768b41bd9b2...  Garden_Tools                                 48         5823.52            4.2917            48
7fab1a1472fdd9343970689...  Toys                                         48         4138.52               4.0            48
bb42f37fc3d9130e4a4339d...  Bed_Bath_Table                               48         2718.81            4.3125            48
c1f5307decb89342351bec5...  Telephony                                    48         2134.16             3.625            48
4aa6014eceb682077f9dc4b...  Housewares                                   47        15621.16            4.3478            46
aa280035c50ba62c746480a...  Toys                                         47         2198.49            4.6304            46
569ffd16f8032478cbeb980...  Furniture_Decor                              47         1524.33            3.9149            47
cc971e0365873137b8bef2e...  Cool_Stuff                                   46        11679.33            4.3913            46
8317b177579dd27ff068b83...  Cool_Stuff                                   46         9127.34            4.3043            46
fe01b643060a6446e59f58e...  Perfumery                                    46         8164.15            4.2826            46
1bfb290d7273a442c874dbe...  Office_Furniture                             46         5247.87            3.5435            46
8562e2c780a345b609e1b80...  Bed_Bath_Table                               46         4489.23               4.2            45
962a6951154f98f2c8e9a5b...  Furniture_Decor                              46         4478.07            3.6957            46
62d8daeee0db3a60c234c2d...  Bed_Bath_Table                               46         1941.66            4.0625            48
bdc3291ab242ec1effc8eb0...  Electronics                                  46         1833.19            4.4783            46
f819f0c84a64f02d3a5606c...  Watches_Gifts                                45        30449.69            4.0889            45
7f72a8900b3d2fc8fa2635b...  Toys                                         45         4061.79            3.9778            45
704ef63ad0ac345842ea734...  Bed_Bath_Table                               45         4058.74              3.25            44
e9def91e99c8ecb7c5cef5e...  Toys                                         45         3863.49               4.4            45
583f158587cdecda3e8bdea...  Sports_Leisure                               45         2674.28            4.1136            44
036734b5a58d5d4f46b0616...  Telephony                                    45          2349.6               3.8            45
3b0f7951038b105522c2d56...  Telephony                                    45         2242.81            3.8667            45
566a4f2c4385f36d15c00df...  Electronics                                  45         1673.51            3.8667            45
35ebf08a93899d44e756809...  Electronics                                  45         1488.77            4.2667            45
d2085f7e0f9533605386960...  Garden_Tools                                 45         1305.06            3.4474            38
a59fb60fddcc72a9878b7ed...  Audio                                        45         1293.96               3.5            42
